TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2015,1,30,15,0,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,2,26,15,56,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,3,24,18,26,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,4,20,15,0,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,5,23,5,38,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,8,5,14,32,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,10,6,18,50,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,10,8,15,24,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,10,19,17,46,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,11,7,17,50,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,11,24,9,5,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,11,25,2,35,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,11,30,13,0,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,12,22,3,30,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,12,24,8,30,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Other Theft,2015,5,28,14,36,10XX W GEORGIA ST,West End,491128.3155,5459137.8634
Other Theft,2015,10,28,21,49,10XX W GEORGIA ST,West End,491141.8857,5459124.422
Other Theft,2015,12,3,9,45,10XX W GEORGIA ST,West End,491141.8857,5459124.422
Other Theft,2015,12,15,7,45,10XX W GEORGIA ST,West End,491141.8857,5459124.422
Other Theft,2015,1,14,7,8,10XX W GEORGIA ST,West End,491163.5981,5459102.9158
Other Theft,2015,4,28,17,40,10XX W HASTINGS ST,Central Business District,491386.3107,5459438.4128
Other Theft,2015,6,15,9,0,10XX W HASTINGS ST,Central Business District,491386.3107,5459438.4128
Other Theft,2015,10,14,14,0,10XX W HASTINGS ST,Central Business District,491386.3107,5459438.4128
Other Theft,2015,11,4,10,8,10XX W HASTINGS ST,Central Business District,491386.3107,5459438.4128
Other Theft,2015,12,16,2,44,10XX W KING EDWARD AVE,Shaughnessy,490701.587,5455155.3599
Other Theft,2015,3,17,12,0,10XX W PENDER ST,Central Business District,491260.5976,5459419.158
Other Theft,2015,3,17,19,0,10XX W PENDER ST,Central Business District,491260.5976,5459419.158
Other Theft,2015,11,23,16,0,10XX W PENDER ST,Central Business District,491260.5976,5459419.158
Other Theft,2015,12,31,7,30,10XX W PENDER ST,Central Business District,491299.6618,5459391.3875
Other Theft,2015,2,3,16,45,10XX W PENDER ST,Central Business District,491334.3085,5459373.6824
Other Theft,2015,12,9,16,30,10XX W PENDER ST,Central Business District,491334.3085,5459373.6824
Other Theft,2015,6,22,10,45,10XX W WATERFRONT RD,Central Business District,491478.9531,5459549.1539
Other Theft,2015,1,14,14,30,11XX ALBERNI ST,West End,490889.048,5459289.6074
Other Theft,2015,9,1,9,30,11XX ALBERNI ST,West End,490900.8588,5459278.1671
Other Theft,2015,8,23,7,6,11XX ALBERNI ST,West End,490918.5751,5459261.0065
Other Theft,2015,1,27,18,30,11XX ALBERNI ST,West End,490951.5114,5459241.8337
Other Theft,2015,2,9,18,5,11XX ALBERNI ST,West End,490951.5114,5459241.8337
Other Theft,2015,3,14,15,0,11XX ALBERNI ST,West End,490951.5114,5459241.8337
Other Theft,2015,4,4,11,45,11XX ALBERNI ST,West End,490951.5114,5459241.8337
Other Theft,2015,7,7,17,43,11XX ALBERNI ST,West End,490951.5114,5459241.8337
Other Theft,2015,11,11,17,34,11XX ALBERNI ST,West End,490951.5114,5459241.8337
Other Theft,2015,12,18,15,20,11XX ALBERNI ST,West End,490951.5114,5459241.8337
Other Theft,2015,12,22,21,40,11XX ALBERNI ST,West End,490951.5114,5459241.8337
Other Theft,2015,9,16,15,37,11XX ALBERNI ST,West End,490983.9912,5459210.3728
Other Theft,2015,1,6,15,0,11XX ALBERNI ST,West End,490992.3928,5459189.5043
Other Theft,2015,4,21,0,12,11XX ALBERNI ST,West End,490992.3928,5459189.5043
