TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,8,11,26,PENDRELL ST / DENMAN ST,West End,489762.0,5459476.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,22,9,32,PINE ST / W 4TH AVE,Fairview,489579.0,5457254.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,22,17,19,PINE ST / W 7TH AVE,Fairview,489572.0,5456971.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,7,9,18,3,PINE ST / W 7TH AVE,Fairview,489572.0,5456971.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,29,20,55,POWELL ST / COLUMBIA ST,Central Business District,492568.0,5458948.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,23,8,30,POWELL ST / COMMERCIAL DR,Grandview-Woodland,494883.0,5459014.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,6,15,14,25,POWELL ST / GORE AVE,Strathcona,492893.0,5458938.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,15,14,52,POWELL ST / HAWKS AVE,Strathcona,493667.0,5458914.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,26,22,28,POWELL ST / MCLEAN DR,Grandview-Woodland,494614.0,5458945.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,1,30,14,24,POWELL ST / VICTORIA DR,Grandview-Woodland,495235.0,5459122.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,1,30,15,45,PRICE ST / BOUNDARY RD,Renfrew-Collingwood,498275.0,5454175.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,10,0,55,PRINCE ALBERT ST / E 8TH AVE,Mount Pleasant,493658.0,5456741.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,26,12,50,PRINCE ALBERT ST / E BROADWAY AVE,Mount Pleasant,493656.0,5456637.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,23,16,18,PRINCE ALBERT ST / SE MARINE DR,Sunset,493573.0,5450927.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,6,26,11,11,PRINCE EDWARD ST / E 56TH AVE,Sunset,492884.0,5451830.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,12,0,41,PRINCE EDWARD ST / E BROADWAY AVE,Mount Pleasant,493015.0,5456657.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,7,9,28,PRINCE EDWARD ST / SE MARINE DR,Sunset,492837.0,5450904.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,20,17,32,PRINCESS AVE / E HASTINGS ST,Strathcona,493347.0,5458719.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,27,5,54,PRIOR ST / HEATLEY AVE,Strathcona,493472.0,5458207.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,1,9,12,35,PRIOR ST / MAIN ST,Central Business District,492731.0,5458227.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,6,7,46,PRIOR ST / MAIN ST,Central Business District,492731.0,5458227.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,6,22,18,49,QUEBEC ST / E 12TH AVE,Mount Pleasant,492499.0,5456390.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,2,16,19,15,QUEBEC ST / E 1ST AVE,Mount Pleasant,492521.0,5457494.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,31,15,45,QUEBEC ST / E 2ND AVE,Mount Pleasant,492527.0,5457382.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,25,18,1,QUEBEC ST / E 2ND AVE,Mount Pleasant,492527.0,5457382.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,1,16,56,QUEBEC ST / E BROADWAY AVE,Mount Pleasant,492508.0,5456694.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,26,19,52,QUEBEC ST / PACIFIC BLVD,Central Business District,492564.0,5458115.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,9,20,1,RENFREW ST / CHARLES ST,Hastings-Sunrise,496787.0,5457834.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,15,23,28,RENFREW ST / E 15TH AVE,Renfrew-Collingwood,496768.0,5455950.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,8,14,13,RENFREW ST / E 15TH AVE,Renfrew-Collingwood,496781.0,5455950.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,13,10,6,RENFREW ST / E 1ST AVE,Hastings-Sunrise,496783.0,5457424.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,19,15,11,RENFREW ST / E 22ND AVE,Renfrew-Collingwood,496777.0,5455323.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,16,21,20,RENFREW ST / E BROADWAY AVE,Renfrew-Collingwood,496775.0,5456576.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,21,0,37,RENFREW ST / E BROADWAY AVE,Renfrew-Collingwood,496775.0,5456576.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,1,12,4,34,RENFREW ST / E HASTINGS ST,Hastings-Sunrise,496797.0,5458712.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,9,8,23,RENFREW ST / E HASTINGS ST,Hastings-Sunrise,496797.0,5458712.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,24,10,19,RENFREW ST / E HASTINGS ST,Hastings-Sunrise,496797.0,5458712.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,29,0,50,RENFREW ST / E HASTINGS ST,Hastings-Sunrise,496797.0,5458712.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,27,17,27,RENFREW ST / GRANDVIEW HWY,Renfrew-Collingwood,496771.0,5456159.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,29,20,45,RENFREW ST / GRANDVIEW HWY,Renfrew-Collingwood,496771.0,5456159.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,1,11,7,1,RENFREW ST / HEBB AVE,Renfrew-Collingwood,496770.0,5456272.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,10,18,32,RENFREW ST / HEBB AVE,Renfrew-Collingwood,496770.0,5456272.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,18,7,59,RICHARDS ST / DAVIE ST,Central Business District,490961.0,5458133.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,14,22,22,RICHARDS ST / HELMCKEN ST,Central Business District,491077.0,5458250.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,30,0,16,RICHARDS ST / PACIFIC ST,Central Business District,490724.0,5457894.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,8,19,44,RICHARDS ST / W PENDER ST,Central Business District,491791.0,5458968.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,7,29,18,38,ROBSON ST / BEATTY ST,Central Business District,491710.0,5458320.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,27,10,15,ROBSON ST / BURRARD ST,Central Business District,491068.0,5458954.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,14,15,22,ROBSON ST / NICOLA ST,West End,490465.0,5459553.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,9,10,2,RUPERT ST / E 1ST AVE,Hastings-Sunrise,497540.0,5457400.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,2,1,8,RUPERT ST / E 5TH AVE,Hastings-Sunrise,497539.0,5456989.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,22,17,22,RUPERT ST / EUCLID AVE,Renfrew-Collingwood,497120.0,5454006.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,9,9,3,RUPERT ST / GRANDVIEW HWY,Renfrew-Collingwood,497546.0,5456151.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,5,17,20,RUPERT ST / KINGS AVE,Renfrew-Collingwood,497292.0,5454275.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,22,14,12,RUPERT ST / KINGSWAY AVE,Renfrew-Collingwood,496918.0,5453685.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,15,15,7,RUPERT ST / PRICE ST,Renfrew-Collingwood,497494.0,5454600.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,16,22,14,RUPERT ST / VANNESS AVE,Renfrew-Collingwood,497251.0,5454214.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,7,14,5,SCHOOL AVE / RUPERT ST,Renfrew-Collingwood,496878.0,5453621.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,2,3,15,50,SE MARINE DR / ARGYLE ST,Victoria-Fraserview,494750.0,5450924.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,3,5,16,30,SE MARINE DR / ARGYLE ST,Victoria-Fraserview,494750.0,5450924.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,3,6,55,SE MARINE DR / ARGYLE ST,Victoria-Fraserview,494750.0,5450924.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,2,9,20,57,SE MARINE DR / BORDEN ST,Victoria-Fraserview,494604.0,5450928.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,29,18,28,SE MARINE DR / ELLIOTT ST,Victoria-Fraserview,495861.0,5450476.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,7,18,14,SE MARINE DR / KERR ST,Killarney,496921.0,5450596.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,1,11,17,28,SE MARINE DR / MAIN ST,Sunset,492554.0,5450922.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,7,31,0,10,SE MARINE DR / ONTARIO ST,Marpole,492237.0,5451060.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,9,11,55,SE MARINE DR / VICTORIA DR,Victoria-Fraserview,495184.0,5450773.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,22,11,51,SEYMOUR ST / DRAKE ST,Central Business District,490778.0,5458084.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,1,18,8,30,SEYMOUR ST / DUNSMUIR ST,Central Business District,491607.0,5458920.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,6,23,3,29,SEYMOUR ST / DUNSMUIR ST,Central Business District,491607.0,5458920.0
